stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,20.43,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,16.35,0,0,0,8.17,4.09,77.64,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,12.84,0,0,0,26.74,3.21,3.21,2.14,0,0,11.77,0,0,2.14,1.07,0,0,0
21Day,0,0,0,8.03,0,1.34,1.34,0,0,0,0,0,0,0,0,0,1.34,1.34,0,13.39,0,0,0,21.42,1.34,5.35,1.34,0,0,5.35,0,0,2.68,0,0,0,0
3Month,0,3.2,0.32,10.24,0,0,0.32,0,1.28,3.2,0,0,4.48,8.96,0.32,1.6,0.96,7.36,3.2,12.48,0.96,0,0.32,160.61,0.32,0.64,20.48,0.96,0,0.96,2.24,11.84,1.6,0,0.32,1.92,1.28
22Month,0.55,3.28,0.55,8.2,0,0,0,0.55,2.73,7.11,1.64,0,29.52,1.09,0,1.09,0,0.55,4.92,7.65,0.55,1.64,1.09,2.73,0.55,0,27.88,0,1.09,0,0,4.92,1.09,0,0,0,1.64
