stage,Cardiomyocyte,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0
72hpf,0,1.07,0,0,0,1.07,0,0,1.07,0,0,39.58,3.21,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,2.68,10.71,2.68,0,0,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0.32
22Month,0,0.55,0.55,0.55,10.93,0,0.55,0.55,0,1.09,1.09,0,0,0.55,0.55,0.55,0
