stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,1.34,0
3Month,0.32,0.32,0.32,0,0,0.32,1.92,0.32,0,0.64,0.32,0.32,0,0.32,0.96,0,0.64
22Month,0,0,0,0.55,0.55,0,7.11,0,0.55,2.73,0,0,0.55,0,0,0,0
