stage,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,27.81,1.07,0,0,0,0
21Day,0,0,1.34,0,0,0,0,1.34,1.34,16.06,0,0,0,0,0
3Month,0.32,0.32,0,0.32,1.92,0.32,0,0.32,0,0,0,0.32,0.32,0.96,0.32
22Month,0,0,0,1.09,6.56,0,0.55,0,0.55,0,0,0,0,0,0.55
