stage,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,4.09,0,8.17,4.09,32.69,4.09
72hpf,0,1.07,0,1.07,1.07,0
21Day,0,0,2.68,0,0,0
