stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,16.35,0,0,0,0,0,0,0,0,0,0,290.13,0,0,4.09,12.26,0,0,0,0,0,0,0,0
72hpf,140.14,0,0,4.28,0,0,0,0,0,0,1.07,0,2.14,0,10.7,0,0,1.07,1.07,0,1.07,0,0,0,0,0,0
21Day,246.29,0,0,17.4,1.34,0,0,0,0,0,0,0,14.72,1.34,8.03,0,1.34,1.34,2.68,0,6.69,0,1.34,0,1.34,0,1.34
3Month,11.84,0.64,0,3.2,0,0.96,0.32,4.8,1.92,0.32,0.96,0.64,1.28,0.32,1.6,0,0.32,0,0,0.32,0,0.32,0.32,0,0,0.32,0.64
22Month,1.64,1.09,0.55,2.19,0,1.64,1.64,19.13,1.09,1.09,2.19,0,0.55,1.09,3.28,0.55,0.55,0,0,0,0,0.55,0,0.55,0,0,2.73
