stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,61.3,0,0,0,0,0,0,0,0,12.26,0,0,0,0,4.09,8.17,0,12.26,0,0,36.78,0,4478.7,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,84.51,7.49,0,52.42,2.14,24.61,2.14,0,0,0,1.07,0,2.14,0,12.84,62.05,12.84,104.84,2.14,2.14,6.42,315.59,196.84,4.28,2.14,22233.47,0,0,33.16,2.14,1.07,8.56,0,0
21Day,25.43,8.03,1.34,61.57,4.02,38.82,13.39,1.34,0,0,17.4,1.34,18.74,6.69,5.35,58.9,29.45,77.63,5.35,9.37,0,60.23,41.49,2.68,0,12020.03,127.16,0,1.34,14.72,20.08,5.35,0,9.37
3Month,0,0,0,1.28,0,0,0,0.32,0,0,3.52,0.32,0,0.64,0,0.96,0.32,0.32,0,0,3.52,0,0,0,0,0,0.32,2.88,0,0,0,0,0.32,0
22Month,0,0,0,1.09,0,0,0,0.55,0.55,0,12.57,0,0,3.28,0,1.09,0,0.55,0,0,0.55,0,0,0,0,0,0,6.01,0,0,0,0,0,0.55
