stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,16.35,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,1.07,0,3.21,0,0,0,0,0,0,0,0,0,6.42,35.3,0,0,1.07,0,2.14,4.28,2.14,0,0,0,3.21,0,0,1.07,0,1.07,0,0,0
21Day,0,0,1.34,18.74,0,8.03,0,1.34,0,4.02,0,10.71,1.34,0,8.03,1.34,0,2.68,13.39,0,1.34,0,4.02,4.02,0,0,0,6.69,4.02,0,0,1.34,1.34,0,0,1.34
3Month,0.32,1.28,1.92,21.44,0.32,0,0.32,0.96,3.52,3.84,0,277.72,2.56,0.32,38.39,2.56,7.68,1.92,4.48,0.64,2.24,12.16,1.28,0,1.92,0.96,0,0.96,4.48,2.88,0.32,0,0,0.32,0.96,2.24
22Month,1.09,2.73,3.28,8.2,0,0,0,0,3.28,5.47,1.64,437.87,2.19,0.55,44.83,2.19,0.55,1.09,1.64,6.01,2.73,1.09,0.55,0,1.64,0,0.55,1.09,0,1.09,0,0.55,0,0.55,0,1.09
