stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Radial_glia,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,1.07,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,2.68,0,0,0,1.34,4.02
3Month,0.32,0.32,0,0.32,0.32,0.32,0.32,0,0,0,0,0
22Month,1.09,0,0,1.09,0,0,0.55,0.55,1.09,0.55,0,0
