stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,53.12,4.09,32.69,0,0,0,0,0,0,0,4.09,8.17,0,98.07,0,4.09,24.52,339.17,0,0,0,0,0,0,0,0,0,0
72hpf,21.4,0,16.05,1.07,5.35,0,0,0,0,0,2.14,56.7,4.28,62.05,6.42,0,831.23,149.77,0,1.07,34.23,0,0,33.16,1.07,0,0,0
21Day,10.71,1.34,16.06,0,6.69,0,0,0,2.68,0,0,9.37,0,66.93,17.4,0,60.23,16.06,0,0,5.35,1.34,0,2.68,1.34,2.68,1.34,0
3Month,0,0,9.28,0,0,0.32,1.6,0.64,0,1.92,0,2.88,0.64,3.52,1.6,0,0,0,0.64,0.32,0,0,0.32,0,0,0,0,0.64
22Month,0,0,0.55,0,0,0.55,1.64,0,0,0,0,0,0.55,1.09,0.55,0,0,0,1.09,0.55,0,0,0,0,0,0,0,0
