stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,6.69,0,0,0,0,0,0,0,0,1.34,2.68,0,0,0,0,1.34,0,0,0,0,2.68
3Month,0,0.64,11.52,0,0.32,0,0.32,0.64,1.6,0.96,4.8,0.64,3.2,0.32,0.64,0.64,0.32,0,0.32,0.96,0,0.32,1.28
22Month,1.09,0,7.65,0,0,0.55,0,1.09,8.2,1.09,1.64,0,0,2.73,1.09,0.55,0,0.55,0,2.19,0.55,0,0.55
