stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,18.19,0,6.42,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,10.71,0,0,0,0,0,0,0
3Month,0,0,0.64,1.92,0.32,0.96,1.28,131.5,1.6,4.16,0.96,0.32,0.64,2.56,0.64,0.64,0.64,0.32,0.96,0,0,2.24,24.32,0.64,5.12,0.32
22Month,0,1.09,0,0.55,1.09,0,4.37,24.05,0.55,0.55,0,0.55,3.28,1.64,0,0,0,0,0,0.55,0,0,6.01,0,0,0
