stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,2.68,0,4.02,0,0,0,1.34
3Month,0.32,0.32,0.64,0.32,0.64,1.28,0.32,0.32,0,0,0,33.27,0.32,0.32,8,0
22Month,0,0,0,0,0,0.55,0,0,0.55,0,0,5.47,0,0,0,0
