stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,1.07,0,0,0,0,0,0,0,1.07,3.21,3.21,0,0,0,1.07,0
21Day,2.68,0,1.34,1.34,0,0,0,0,0,14.72,0,1.34,1.34,0,0,0
3Month,0,1.28,0,0,0,0.32,0,1.6,0,1.28,0,0,0,0.32,0,1.92
22Month,0,0,0,0,2.19,0,0.55,0.55,0,0,0,0,0,0,0,0
