stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Oocyte,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,2.68,0,0,0,1.34,0,0,1.34,0,0,0,0,0
3Month,0,43.19,0.64,0,0.32,0.96,0.32,5.44,0.32,30.72,0.32,0.64,0.96,0,0.64,0.32,0,0,0.32,0.32,0.32,0.64
22Month,0.55,31.16,2.19,0.55,0.55,1.09,0,13.12,0,72.71,0,0,0,0.55,0,0,0,2.19,0,0,0,0
