stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,12.26,8.17,143.02,12.26,0,0,0,0,0,4.09,0,0,0,0,8.17,12.26,32.69,249.27,0,0,0,0,147.11,8001.18,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,9.63,1.07,24.61,7.49,8.56,0,0,1.07,0,0,0,0,0,0,12.84,11.77,3.21,19.26,0,1.07,0,1.07,1101.88,561.64,4.28,1.07,27.81,1.07,1.07,27.81,2.14,0,4.28,0,0
21Day,6.69,1.34,14.72,1.34,4.02,1.34,2.68,0,0,0,0,0,5.35,4.02,4.02,8.03,1.34,26.77,0,0,0,0,297.15,207.47,0,2.68,2.68,12.05,0,10.71,14.72,1.34,0,0,4.02
3Month,0,0.96,2.24,0.32,0,0,7.36,1.28,0,0,2.24,0.64,0,1.28,1.6,4.16,0.64,3.84,0.96,0,0.64,0,0.32,0.64,1.92,0,0,0.32,4.8,1.6,0.32,0,0,4.48,0.32
22Month,0,0.55,2.19,0,0,0,2.19,0.55,0.55,0,11.48,1.09,0,0.55,0,0,0.55,4.92,0,0,0,0,0,0,0,0,1.64,0,5.47,0,0,0,0,0,0.55
