stage,Epithelial_cell,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,4.09,0,8.17,0,0,0,4.09,0
21Day,5.35,0,2.68,2.68,0,1.34,0,0
3Month,0.32,0,0,0.32,0.32,0,0,1.6
22Month,0,0.55,0,0,0,0,0,0
