stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell
24hpf,0,4.09,0,0,0,0,0,0,4.09,0,0,0,24.52,0,0,8.17,0,0,0
72hpf,0,1.07,1.07,0,0,0,1.07,0,3.21,0,0,52.42,3.21,0,1.07,5.35,0,2.14,0
21Day,0,0,0,0,0,0,0,0,9.37,1.34,2.68,30.79,1.34,0,1.34,0,1.34,1.34,9.37
3Month,0,0,0,0,0,0.32,0,0,0.64,0,0.32,0,0,0,0,0.32,0,0,0
22Month,1.09,0,0,0.55,1.64,0,0,0.55,0.55,0.55,0,0,0,0.55,0,0,0,0,0
