stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,1.07,1.07,0,0,0,0,0
21Day,2.68,1.34,1.34,4.02,1.34,0,0,2.68,1.34,5.35,8.03,0,0,25.43,0,1.34,0,0,0,1.34
3Month,0,0,2.88,0,0,1.6,0.64,0,0,0.32,1.92,0.32,0,0.96,0,0,0.64,0.32,7.04,0
22Month,0,0,0,0.55,0.55,2.19,0,0,0.55,0.55,0,0,0.55,0,0,0,0,0,0,0
