stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
21Day,2.68,0,4.02,0,0,0,2.68,0,1.34,160.62,1.34,1.34,0,1.34,0,0,1.34,0
3Month,0,0.32,0.96,0.32,0.32,1.92,0,0.64,0,52.79,0,0,0.32,0.64,1.28,0,0,0
22Month,0,0.55,0,0.55,1.09,1.09,0,0,0.55,4.37,0.55,0,0,0,0,0.55,0,0.55
