stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,5.35,0,0,4.02,0,0,0,0,0,0
3Month,0,0,0.96,0,0,0.96,0,2.24,0.32,0.64,0.32,0,0,14.72,3.84,0,0,0,0,0.32,0.64,0,0.32
22Month,1.64,2.73,7.11,6.56,0.55,4.37,0.55,590.39,3.83,1.64,2.19,0.55,1.64,91.29,0.55,13.12,3.83,0.55,0.55,0.55,0,0.55,0.55
