stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,2.14,0,0,0,0,0,0,0,0,0,3.21,8.56,0,0,0,0,1.07,2.14,0,0,2.14,1.07,0,0,0,0,0,0
21Day,0,0,0,8.03,0,0,2.68,0,0,0,0,0,0,1.34,25.43,0,0,0,4.02,0,0,0,0,1.34,1.34,0,0,0,0,0,1.34
3Month,0.32,1.28,0.96,11.52,0,0,3.2,1.28,0,7.36,1.28,0,32.63,1.28,1.6,1.28,0.96,0,46.07,0,0,0.32,0.32,0,0,5.44,0,0.32,1.92,1.28,1.6
22Month,0,17.49,3.83,6.01,1.09,0.55,3.83,6.56,1.09,47.56,0.55,0.55,65.6,0,1.09,4.92,3.28,1.09,16.4,0.55,0,0,0,0,0,0.55,0.55,0,0,0,1.09
