stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,12.26,0,0,0,0,12.26,12.26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,2.14,1.07,0,0,0,0,0,0,0,0,0,5.35,3.21,6.42,3.21,7.49,0,0,1.07,0,26.74,7.49,0,1.07,0,9.63,0,0,2.14,0,3.21,0,0,0
21Day,1.34,1.34,0,20.08,0,5.35,0,0,0,1.34,0,0,0,1.34,0,0,2.68,1.34,16.06,0,0,1.34,0,13.39,4.02,0,0,0,6.69,0,1.34,2.68,1.34,1.34,0,0,1.34
3Month,0,0.32,0.96,6.4,0,0,0.32,0,1.92,1.28,0,30.4,0.32,0,3.52,0.96,1.28,3.52,0.64,1.92,0,0,0.32,2.56,0.32,0.32,0,0,0.32,0.32,8,0,0,0,0.64,2.24,0.64
22Month,3.28,4.92,0,8.75,0,0,0,0.55,0,10.39,2.19,101.13,3.83,0.55,2.19,0,1.64,6.01,7.11,0,3.28,0,0,3.83,0,0,0.55,1.09,1.09,0,5.47,0.55,0,0,0,0,1.09
