stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,7.49,2.14,0,0,0,0,0,0,3.21,0,0,0,0
21Day,0,0,1.34,10.71,1.34,12.05,0,5.35,0,1.34,0,0,0,6.69,0,0,1.34,1.34,0,0,0,8.03,0,1.34,0,0,1.34,1.34,0,1.34,0,0,0,2.68
3Month,0.32,0.64,0.32,25.28,0.64,0,0,1.28,4.8,7.36,0.32,3.2,20.16,0.64,3.2,0.96,5.12,3.2,3.52,0,2.56,1.28,0,2.88,0.32,0,0,0.64,4.48,0.64,0,2.88,11.52,8.96
22Month,0,1.64,0,6.56,0,0,0.55,0,0.55,4.37,1.64,15.31,10.93,2.19,3.28,0,1.64,3.28,2.73,1.64,0.55,0,0,2.73,0,0.55,0,0,5.47,1.09,1.09,0,0,5.47
