stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,98.07,0,0
72hpf,53.49,14.98,0,48.14,10.7,27.81,0,0,0,0,0,1.07,0,1.07,0,17.12,121.96,13.91,82.37,2.14,2.14,0,11958.13,1332.96,1.07,1.07,88.79,0,0,28.88,432.2,72.75,32.09,0,0
21Day,24.09,0,1.34,30.79,0,36.14,6.69,1.34,0,0,0,2.68,0,4.02,9.37,1.34,17.4,4.02,32.12,0,4.02,0,1773.56,270.38,5.35,5.35,8.03,18.74,0,8.03,443.05,44.17,16.06,0,8.03
3Month,0,0,0,0.96,0,0,0,0,0.32,0,0,1.28,0,0,0.32,0,0,2.24,0.32,0,0,0.32,13.76,0,0.32,0,0,0,1.6,0,3.52,0,0.64,0.32,0
22Month,0.55,0.55,0,1.64,0,0,0,0,1.09,0.55,0,10.39,1.64,0,0.55,0,0,1.09,2.19,0,0,0,9.84,0,0,1.09,0,0,1.64,0.55,59.04,0,4.92,0,0
