stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0,1.07,1.07,1.07,0,1.07,0,133.72,4.28,0,0,0,0,0,0,0
21Day,1.34,0,0,2.68,4.02,1.34,0,0,0,0,0,1.34,0,0,0,0,2.68,0,0,0,91.02,4.02,0,1.34,1.34,0,0,0,1.34
3Month,0,0,0,1.92,0,0.64,0.64,0.64,0,5.44,0.64,0.32,2.88,0.64,0.96,0.64,2.56,0.32,0.32,0.32,0.64,0,0.64,0.32,0.32,4.16,0.96,4.48,0.32
22Month,0,1.64,0.55,1.09,0,0,0.55,2.19,1.09,35.53,0,0,1.09,0,0,1.09,2.19,0,0,0,0.55,0,1.09,0.55,0,1.09,0,0,0
