stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,0,0,0,0,0,0,0,0,1.07,0,1.07,12.84,0,3.21,0,0,0,0,13.91,3.21,0,0,0,3.21,0,0,0,0,0,0,0
21Day,0,1.34,21.42,1.34,0,4.02,0,1.34,0,0,1.34,4.02,4.02,2.68,26.77,2.68,18.74,0,0,1.34,0,5.35,5.35,0,0,0,8.03,1.34,0,2.68,0,0,0,9.37
3Month,1.6,4.16,44.79,0,0,1.28,8.32,8.64,0,49.27,16,1.28,51.83,3.2,9.92,9.6,6.4,0.64,0,3.52,2.88,2.56,0,3.52,0.64,0,0.32,1.6,3.84,0,0,3.84,0.96,23.36
22Month,6.56,3.83,20.77,0,1.09,1.64,4.37,29.52,7.11,100.58,8.75,3.28,60.68,0,4.92,16.95,8.75,0,2.73,4.92,0,0.55,1.64,1.64,1.09,0.55,0.55,0.55,1.64,1.64,1.09,0.55,0,7.65
