stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,12.84,0,1.07,0,1.07,0,0,0,0,0,0,0,0
21Day,1.34,0,0,5.35,0,1.34,0,1.34,0,0,0,0,0,4.02,0,0,0,0,4.02,0,0,1.34,8.03,1.34,0,0,5.35,0,0,0,1.34,0,0,0,0
3Month,1.28,5.44,0.32,31.67,0,0,1.6,0.32,0.64,17.92,0,11.2,10.56,1.28,1.92,0.96,12.16,4.48,24.32,4.48,0,3.2,0.32,0.64,0.64,0.32,0.32,0.32,3.2,0.32,0,0.96,1.92,1.6,8.32
22Month,0,6.01,0,10.39,0.55,0,0,0.55,0,10.39,1.64,18.59,6.56,0.55,0.55,0.55,0.55,5.47,8.2,0.55,0.55,0.55,1.64,0.55,0.55,0,0,0,0,2.73,0,0,0.55,0.55,4.37
