stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,4.09,0,0,0,0,0,0,0,0,8.17,0,4.09,85.81,0,0,0,0,4.09,612.96,0,4.09,0,0,0,0,0,0,0,0
72hpf,28.88,0,0,9.63,4.28,5.35,0,0,0,0,0,0,4.28,0,3.21,6.42,2.14,43.86,0,4.28,0,0,114.47,333.77,0,23.54,0,0,13.91,0,2.14,0,0,0
21Day,10.71,0,1.34,20.08,2.68,1.34,4.02,0,1.34,0,0,0,21.42,1.34,2.68,6.69,0,29.45,0,0,1.34,0,13.39,49.53,0,8.03,1.34,1.34,4.02,1.34,0,0,0,0
3Month,22.72,0.32,0.64,3.52,0,0,0.32,1.6,1.28,0.64,6.4,2.88,0.32,4.48,0.32,0.64,0.96,1.6,0.64,0,0,1.28,0,0.32,0.32,0,2.24,93.43,0,0,0,0.64,15.36,1.92
22Month,24.6,0,0,1.09,0,0,0.55,0,4.92,1.09,15.31,1.09,2.19,9.29,0,0,1.64,2.19,0,0.55,0.55,0.55,0,0,0,0,0,39.91,0,0,0,0,0.55,0.55
