stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Nephron_cell,Primordial_germ_cell,Smooth_muscle_cell
3Month,0.64,1.6,3.2,0.32,1.92,0.32,0.64,0.32
22Month,0,2.19,1.09,0,0,0,0,0
