stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,36.78,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,0,0,0,0,0,0,0,6.42,3.21,0,0,0,0,0,2.14,2.14,0,1.07,0,0,0,0,0
21Day,0,0,0,0,1.34,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0
3Month,0,0,2.56,43.19,0.32,0.96,27.2,0.64,2.56,0.96,46.71,0,0.64,2.24,0.64,0.32,0.96,0.32,0.32,0,0.64,0,1.28,1.28,0.32,3.52,1.28
22Month,0,0.55,2.73,43.19,0,0,6.01,0,2.19,0,34.99,0,0,0.55,0,0.55,0.55,0,0.55,0,0,0,0,0,0,0,0.55
