stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,4.09,134.85,0,0,0,0,0,0,0
72hpf,8.56,1.07,3.21,0,0,0,0,0,1.07,0,2.14,2.14,0,0,121.96,14.98,0,0,0,0,8.56,0,0
21Day,5.35,0,2.68,2.68,0,0,2.68,0,0,1.34,0,2.68,0,0,53.54,5.35,0,0,1.34,0,4.02,0,0
3Month,0,0,1.28,0,0.32,0,0.96,0.96,0,0,0,0.64,0.32,0.32,0.32,0,0,0,0.32,0.32,0,0.32,2.24
22Month,0,0,2.19,0,1.09,0.55,4.92,0.55,0,0.55,0,0.55,0,0,1.64,0.55,0.55,1.64,0,0,0,0,0
