stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,16.35,28.6,8.17,130.76,0,44.95,0,4.09,0,0,4.09,0,0,16.35,261.53,24.52,0,0,0,0,167.54,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,3.21,4.28,3.21,278.15,0,57.77,0,13.91,0,0,26.74,0,3.21,5.35,4.28,4.28,0,0,0,22.47,49.21,0,0,7.49,0,0,2.14,0,0,0,0,0,0
21Day,4.02,1.34,12.05,0,726.82,0,440.38,0,4.02,8.03,8.03,48.19,1.34,0,5.35,10.71,13.39,0,1.34,0,13.39,5.35,0,1.34,8.03,8.03,0,0,0,8.03,0,0,0,4.02
3Month,0.32,0.96,7.68,0,0,16.96,82.55,0.32,167.33,7.36,41.27,57.27,1.28,1.28,2.88,19.2,3.2,0.96,0,0.32,0.64,0.64,0,0.32,0,1.6,3.52,0.96,0,0,0.64,0.96,1.28,6.4
22Month,0,1.64,1.09,0,0,9.29,25.15,1.09,98.4,8.2,54.67,75.44,1.09,0,0,16.4,1.64,0,0,0,0,0,0.55,0,0.55,0.55,0.55,0,0.55,0,0,0,0,4.92
