stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,28.6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,4.09,73.56,0,0,0,24.52,649.74,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,3.21,0,3.21,0,7.49,0,1.07,0,0,0,0,0,0,0,0,2.14,1.07,0,22.47,0,2.14,0,146.56,101.63,0,2.14,11.77,1.07,0,2.14,3.21,0,0,0,0
21Day,13.39,0,14.72,0,33.46,0,6.69,0,0,0,0,0,0,12.05,0,2.68,4.02,1.34,13.39,0,0,0,34.8,44.17,0,0,5.35,0,0,1.34,1.34,1.34,0,0,2.68
3Month,0.32,0.32,23.68,0,0,0.32,1.28,0.32,1.92,2.24,0,31.67,1.92,0.96,6.4,1.28,10.88,2.56,6.72,1.28,0,0.96,7.04,1.28,2.24,0.32,0.32,0,8.96,0,0,0,1.6,1.6,0.96
22Month,0,0.55,7.11,0.55,0,2.19,0.55,0,1.64,4.92,2.73,39.91,2.73,1.09,9.84,0.55,0,2.19,7.11,0.55,1.64,0.55,3.83,0,1.09,1.09,0,0.55,3.83,1.09,3.83,0,0,0,1.09
