stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,12.26,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,32.69,0,0,8.17,735.55,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,38.51,4.28,0,14.98,1.07,24.61,0,0,0,0,0,0,1.07,0,7.49,28.88,6.42,29.95,0,1.07,3012.53,544.52,2.14,2.14,33.16,2.14,0,54.56,2.14,1.07,1.07,0,0
21Day,4.02,1.34,1.34,12.05,0,24.09,0,0,0,0,1.34,0,4.02,1.34,2.68,6.69,1.34,13.39,0,1.34,658.56,95.04,4.02,2.68,16.06,9.37,1.34,14.72,6.69,5.35,0,0,6.69
3Month,0.32,0.64,1.28,5.12,0,0,0,1.92,0.32,0,4.16,0.96,0,2.88,0,0.64,0.96,3.2,0,0.32,7.04,0.96,3.84,0.32,0,0.32,2.56,11.52,0.64,0,0.32,1.6,1.92
22Month,0,0,2.73,1.64,0,0,0.55,0.55,0.55,0,28.43,0.55,0,5.47,0,0,2.19,1.09,0.55,1.64,5.47,0,4.37,0,0,0.55,8.2,22.41,0.55,0,0,0,0.55
