stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Nephron_cell,Neurosecretory_cell,T_cell
72hpf,0,0,0,0,1.07,0,1.07,0
3Month,1.28,0,0,0,0.32,0.96,0,0.32
22Month,0,2.73,0.55,1.09,0.55,0,0,0
