stage,Epithelial_cell,Epithelial_cell__Brain_,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,0,0,0,4.09,0,0
72hpf,0,1.07,0,0,1.07,0,1.07,0
21Day,0,0,0,1.34,0,0,0,0
3Month,0.32,0,1.6,0,0,0,0,0.32
