stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,2.14,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,2.68,4.02,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0.64,0.96,3.2,31.99,0,17.92,9.92,16.64,143.02,0.32,105.58,0,2.24,41.59,2.24,0.96,0,120.62,4.16,0.32,0.32,5.12,0.32,0,0.32,1.28,0.96,15.04,0.96,1.28,4.8,6.08
22Month,0.55,0.55,4.92,16.95,0.55,7.65,12.57,21.32,74.89,0.55,49.2,0.55,0,30.07,0.55,0,1.09,55.76,0.55,0,0,4.37,0,0.55,0,0,0,4.92,0.55,0,0,13.67
