stage,Erythroid_progenitor_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Osteoblast,Retinal_cell,T_cell
72hpf,0,0,2.14,1.07,1.07,0,0,1.07
21Day,1.34,0,0,1.34,1.34,1.34,1.34,0
3Month,0,0.32,0,0,0,0,0,0
22Month,0,1.09,0,0,0,0,0,0
