stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,9.63,1.07,2.14,0,1.07,0,0,0,0,0,0,0,0,0,1.07,9.63,1.07,4.28,0,0,0,677.18,14.98,0,1.07,70.61,0,0,8.56,0,2.14,1.07,0,0,0
21Day,12.05,0,20.08,2.68,18.74,0,1.34,0,0,0,0,1.34,2.68,1.34,1.34,6.69,6.69,76.3,0,0,2.68,453.76,26.77,0,1.34,76.3,16.06,0,8.03,2.68,9.37,1.34,0,0,4.02
3Month,0,0.64,4.48,0,0,0.32,0,0.64,0.32,0,4.48,1.28,0,1.28,0,1.28,0.64,5.12,1.28,0,0,7.04,0,2.56,0.64,0.64,0.32,1.28,0,0,0,0,0.32,0.96,0.96
22Month,0,1.64,2.19,0,0,0,0.55,0.55,5.47,2.19,47.56,3.28,0.55,2.19,0.55,0,1.64,12.03,0.55,1.09,0.55,3.28,0,5.47,1.09,0,0.55,0.55,0.55,0.55,0,0,0,0,1.09
