stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,65.38,0,0,0,0,0,0,0,0,0,0,4.09,8.17,833.63,0,12.26,0,0,0,4.09,36.78,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,50.28,9.63,0,0,0,0,1.07,0,0,0,0,0,11.77,1184.26,0,7.49,0,0,0,53.49,27.81,0,0,10.7,0,0,2.14,0,0,0,0,0
21Day,6.69,0,0,605.02,18.74,0,1.34,0,0,0,0,2.68,0,1.34,1.34,14.72,488.56,2.68,6.69,0,2.68,0,13.39,5.35,0,1.34,8.03,10.71,1.34,2.68,5.35,2.68,0,0,0
3Month,0.32,2.56,0.64,1302.19,0,2.88,0.32,0.32,2.56,5.12,0,28.48,9.92,1.28,17.6,48.31,43.19,4.48,8.64,1.28,0.96,2.88,1.6,0.32,0.96,0.96,0.32,6.4,18.56,0.64,0,0,2.88,6.72,5.76
22Month,0,0.55,0.55,109.88,0,1.09,0.55,0,1.09,2.73,0.55,15.85,0,0,2.19,17.49,6.01,1.09,4.92,0.55,0,0,0.55,0,0,0,0.55,1.09,5.47,0,0,0.55,0,0,2.19
