stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,36.78,4.09,0,0,0,0,0,0,0,0,0,0,0,40.86,0,4.09,69.47,0,0,0,4.09,20.43,576.18,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,13.91,18.19,2.14,0,0,0,0,0,0,0,0,0,1.07,4.28,5.35,0,29.95,0,1.07,0,3.21,49.21,46,2.14,0,0,46,1.07,0,37.44,2.14,0,0,0,0
21Day,0,0,0,8.03,12.05,2.68,0,1.34,0,0,0,0,0,0,0,1.34,2.68,4.02,1.34,9.37,0,0,0,0,9.37,17.4,4.02,1.34,0,14.72,1.34,5.35,6.69,0,0,0,0,0
3Month,0.32,0.64,1.28,98.86,6.72,0,0,0,0.32,1.92,6.4,0,29.76,8,1.92,10.24,31.67,7.04,6.72,11.2,3.2,0,2.88,7.04,19.2,0.96,22.72,2.24,0,8.96,3.52,237.4,1.6,1.28,0.64,2.24,1023.52,12.16
22Month,0,0.55,1.09,39.91,1.64,0,0.55,0,0,0.55,0.55,0.55,10.93,1.64,1.09,2.19,7.11,2.19,2.73,3.83,0.55,0.55,0,1.09,2.19,1.09,13.67,1.09,1.64,6.56,0.55,113.7,1.64,0.55,0.55,1.09,6.01,1.09
