stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,69.47,0,0,16.35,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,396.38,0,0,0,0,0,4.09,0,0
72hpf,6.42,1.07,0,5.35,0,0,0,0,0,0,2.14,0,2.14,0,1.07,1.07,111.26,38.51,3.21,0,0,5.35,0,0,0,0
21Day,2.68,1.34,0,1.34,4.02,2.68,0,0,1.34,2.68,4.02,0,0,0,0,0,101.73,40.16,4.02,1.34,4.02,4.02,1.34,0,0,0
3Month,0,0,0.32,0.32,0,0.32,0.32,0.32,0.64,0.96,0,0,0.32,0.32,0,0,0,0,1.6,0,0,0,0,0,0.64,0.32
22Month,0,0,0,0.55,0,0,0,0.55,3.83,0.55,0,1.09,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0
