stage,Granulocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,12.26,4.09,0
72hpf,0,0,0,0,6.42,0,0
21Day,0,0,2.68,0,4.02,0,0
3Month,0,0.96,0,0,3.2,0,0.32
22Month,1.64,0.55,0,0.55,12.03,0,0
