stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,1.07,0,2.14,1.07,0,0,0,0,0,0,0
21Day,14.72,25.43,8.03,9.37,1.34,2.68,1.34,4.02,8.03,2.68,99.05,1.34,18.74,10.71,1.34,8.03,4.02,1.34,2.68,1.34,1.34
