stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.47,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,4.28,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,4.28,5.35,0,0,1.07,0,0,5.35,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,2.68,0,0,0,0,0,2.68,0,0,0,0,0
3Month,1.92,0.64,23.36,0.32,0.32,0.96,0.96,13.44,3.2,3.2,3.2,1.6,2.24,2.88,0.32,0,0.32,1.6,2.88,0.32,1.28,0.64,0,4.16,79.99,0,0.32,0.64,736.84,1.92
22Month,0.55,0.55,2.73,1.09,0,0,0.55,10.39,0,0.55,0,0,0.55,1.64,0,0.55,0,0,0.55,0,0.55,0,0,0,62.87,0,0,0,2.19,0
