stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,4.09,0,0,0,0,4.09,0,0,98.07,0,0,8.17,28.6,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,1.07,2.14,1.07,0,0,0,0,0,0,0,9.63,6.42,0,21.4,6.42,0,263.17,9.63,5.35,1.07,0,13.91,0,1.07,3.21,3.21,0,0,0
21Day,1.34,0,8.03,0,1.34,0,0,0,0,0,0,0,10.71,0,0,2.68,0,0,40.16,1.34,4.02,0,0,4.02,2.68,2.68,0,13.39,2.68,0,0
3Month,0,0.32,5.76,0.64,0,0.32,6.4,0.32,0,7.68,0.96,0.32,3.2,0,0.96,1.92,0.32,0.32,0.32,0,2.24,0.32,0,0,0.32,7.36,0,0,0,1.28,0.32
22Month,0,0,2.19,0.55,0,0,2.19,1.09,0.55,14.21,0,4.37,2.19,2.19,0,0.55,0,0,0,0,1.09,0,0.55,0,0,10.39,1.09,0.55,0,0,0
