stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,4.09,8.17,0,0,0,0,16.35,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,0,12.84,1.07,0,5.35,0,0,1.07,1.07,0,0,0,0,2.14,25.67,1.07,36.37,0,2.14,0,7.49,6.42,0,0,84.51,0,0,0,0,0,0,0,0
21Day,0,0,22.76,4.02,0,18.74,0,0,0,0,1.34,0,4.02,0,0,17.4,2.68,78.97,0,32.12,0,1.34,0,0,0,160.62,8.03,0,0,4.02,2.68,0,0,0
3Month,0,3.2,14.4,0,0.32,11.2,0.64,0,0,0,3.84,1.6,1.92,2.56,0.64,14.08,3.2,29.44,4.16,8.32,0.32,0,0,0.32,0,0.96,0.96,4.8,0.64,0,0,5.12,2.56,0.64
22Month,0.55,5.47,13.12,0,0.55,10.39,0,4.37,1.09,0,18.59,1.09,13.67,2.73,0.55,1.64,26.79,37.72,1.64,12.03,0,1.09,0,0,1.09,1.64,0,1.64,0,0,0,2.19,0,1.64
