stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,28.6,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,4.09,20.43,40.86,0,0,0,0,12.26,155.28,0,4.09,0,0,0,0,4.09,0,0
72hpf,2.14,0,0,1.07,2.14,8.56,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,65.26,0,2.14,0,0,8.56,5.35,0,3.21,0,0,1.07,0,0,0,0
21Day,4.02,0,1.34,1.34,0,4.02,0,1.34,0,0,0,0,0,0,1.34,0,1.34,1.34,0,56.22,0,0,1.34,0,4.02,2.68,0,1.34,0,0,0,1.34,0,0,0
3Month,0,0.32,0,4.16,0,0,0.32,0.32,0.32,1.28,0,0,14.4,1.6,0,1.92,0,0,1.92,1.6,0,0,0.32,0.32,0.32,0,0.32,0,0.32,4.8,0,0,0,0.64,1.92
22Month,0,1.64,1.09,4.37,0,0,0,0,1.64,2.73,0.55,0,69.43,0.55,0,4.37,0.55,0,0,3.83,0.55,1.09,0,0,0,0,0,0,0,2.19,0,0,0,0,0
