stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Neural_cell,Primordial_germ_cell,Radial_glia
72hpf,0,0,0,0,0,1.07,1.07
21Day,0,1.34,0,0,1.34,0,0
3Month,0,0,0.96,0,0,0,0
22Month,0.55,0,0,1.09,0,0,0
