stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.33,0,0,0,0,0,16.35,0,0,4.09,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,47.07,0,0,1.07,0,4.28,5.35,0,0,37.44,0,0,0,0,0,0
21Day,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,1.34,0,26.77,0,0,1.34,0,0,0,0,0,5.35,0,1.34,0,0,0,0
3Month,0,5.44,0.32,6.08,0,0,0,18.24,1.6,1.28,0,11.2,1.6,0.32,2.56,0.32,2.24,1.6,31.36,1.6,0,4.16,0.32,0.32,0,0.96,0.32,0,1.28,55.35,0.96,0.64,29.76,1.92
22Month,0,24.05,1.09,3.28,0,1.09,0.55,7.65,1.09,0.55,7.11,28.97,1.64,0,3.28,1.09,1.64,4.37,28.97,0,4.37,2.19,0,0.55,0,1.09,0,0,0.55,0.55,0.55,0,0,0.55
