stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,4.09,12.26,0,8.17,65.38,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,2.14,0,7.49,5.35,1.07,0,0,1.07
21Day,1.34,0,0,0,0,1.34,0,0,0,2.68,0,0,0,1.34,1.34,0,0
3Month,0,0.32,0.96,0.32,1.6,0,0.32,0.64,0.64,0,0.32,0,0,0,0,0.64,0
