stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,73.56,73.56,0,155.28,0,0,0,4.09,0,0,0,0,0,0,0,12.26,4.09,16.35,437.25,0,0,0,0,302.39,849.97,0,155.28,0,0,0,0,0,4.09,0,0,0
72hpf,102.7,6.42,0,77.02,4.28,27.81,0,1.07,0,0,0,0,0,5.35,0,2.14,41.72,0,294.19,0,0,12.84,0,159.4,172.24,0,323.08,0,0,21.4,0,1.07,14.98,0,0,0
21Day,164.64,1.34,0,80.31,4.02,54.88,0,4.02,0,0,0,2.68,0,2.68,0,6.69,13.39,0,368.1,1.34,0,69.6,0,42.83,34.8,0,207.47,9.37,0,9.37,4.02,2.68,6.69,1.34,0,6.69
3Month,1.6,0.96,0.32,57.27,0,0,0,0,0.96,0.32,0.64,4.48,0.32,0,2.24,0.96,2.24,1.92,23.68,3.52,0,1.92,0.64,0.96,0,0.64,0.32,0.96,16.32,2.24,0,0,0,5.12,8.96,1.28
22Month,0.55,2.19,0,14.76,0,0,0.55,0,0,0,0,15.31,2.73,0,1.64,0,2.19,0.55,15.85,0.55,0.55,1.09,0,2.19,0,0,0,0,4.92,2.73,0,0,0,0.55,0,0
