stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,1.34,1.34,0,0,0,0,0,0,2.68,0,1.34,0,0,6.69,0,0,0,0,1.34,0,1.34,0,0
3Month,0,1.92,0,0,0,0.96,0.64,0,0.64,0.96,0.64,0.64,0.32,0,0,0.32,0,0,0.32,0,0,0,0.64,0
22Month,0.55,2.19,0,0.55,3.28,8.75,0.55,1.09,1.64,1.64,2.19,0,0,1.09,0.55,0,0.55,0.55,0,1.09,0.55,0,0,1.09
