stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,4.09,0,0,0,0,0,12.26,20.43,0,0,0
72hpf,5.35,3.21,6.42,1.07,0,0,17.12,0,31.02,17.12,18.19,0,10.7
21Day,6.69,1.34,4.02,0,0,0,22.76,0,9.37,6.69,9.37,1.34,4.02
3Month,0,0,0.64,0,0.32,0.32,0.64,0.64,0,0,0,0,0
