stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,20.43,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,12.26,159.37,0,0,0,0,53.12,290.13,0,0,4.09,0,0,0,0,0,0
72hpf,4.28,1.07,0,11.77,0,2.14,0,0,0,0,0,0,0,0,4.28,9.63,0,22.47,0,0,0,0,21.4,6.42,0,0,25.67,0,0,5.35,0,0,0
21Day,5.35,1.34,0,29.45,1.34,1.34,0,0,0,0,0,0,2.68,4.02,1.34,2.68,9.37,45.51,0,0,2.68,1.34,26.77,5.35,0,1.34,17.4,6.69,0,4.02,2.68,0,2.68
3Month,0.32,2.88,1.28,7.36,0,0,1.28,0.64,2.88,0.64,75.83,1.28,0.32,35.51,3.52,10.88,7.36,19.2,3.84,0,1.28,0.64,1.28,0,0.96,0,0.64,1.92,9.6,1.28,0,1.28,7.36
22Month,0,2.19,0.55,1.64,0,0,0,0.55,1.09,1.09,80.9,0.55,0.55,8.75,0,0,5.47,10.93,0,0.55,0,0,0,0,0,0,0,0,0.55,1.09,0,0,1.64
