stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.12,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,2.14,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,4.28,6.42,0,0,0,1.07,0,0,0,0,0,0,0
21Day,1.34,0,0,2.68,1.34,0,0,0,0,0,1.34,0,0,1.34,1.34,0,0,0,0,0,2.68,2.68,0,1.34,0,0,0,0,0,0,0,0,0
3Month,0,0.96,7.04,0,0,0.32,2.24,0,7.36,1.92,0.64,4.48,1.28,2.88,1.6,0.96,0.32,0,0.96,0.32,0.32,0.32,0.64,0,0,0,0.96,0.32,8,0.32,0.64,6.08,2.24
22Month,0,1.64,6.56,0,0,0.55,7.65,2.73,41,3.83,1.64,9.29,0.55,1.09,7.11,4.37,0,0.55,0,0,0.55,0,0.55,1.64,0.55,0,1.64,0,1.64,0,0.55,0,3.83
