stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.38,0,0,0,0,4.09,12.26,0,0,0,151.2,0,0,0,0,0,0,0,0
72hpf,10.7,2.14,2.14,0,8.56,0,0,0,0,0,0,0,1.07,0,3.21,13.91,0,204.33,0,0,2.14,0,35.3,20.33,0,1.07,0,1025.93,0,0,3.21,6.42,1.07,9.63,0,0
21Day,4.02,2.68,9.37,0,8.03,0,0,0,0,0,2.68,0,1.34,1.34,0,10.71,2.68,449.75,1.34,0,52.2,0,16.06,5.35,0,1.34,0,206.13,14.72,0,0,5.35,5.35,2.68,0,0
3Month,0,6.72,9.28,0.64,0,0.32,0.64,1.6,4.8,0,12.16,2.24,0.32,3.84,0.32,0.96,3.84,207.33,4.48,0.32,8.96,0.64,0.96,0,2.88,0,0,0,1.6,31.99,0,0,0,0.64,24.64,0.64
22Month,0,7.11,4.92,0,0,1.09,0.55,2.19,8.75,0.55,51.93,1.64,0,3.83,0,0,1.09,116.98,1.09,2.19,4.37,0,1.09,0,1.64,0,0.55,0,0,25.69,0.55,2.19,0,0,0,1.09
