stage,Epithelial_cell,Erythroid_progenitor_cell,Ionocyte,Mesenchymal_cell,Neural_progenitor_cell
24hpf,8.17,0,4.09,8.17,4.09
72hpf,1.07,0,0,0,0
21Day,0,1.34,0,2.68,0
