stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Primordial_germ_cell,Retinal_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
3Month,0,0,0,0,0,0,0.96,0,0.32,0,0,0.32,0,0,0,0,0,0,0,0,0.32,0
22Month,0.55,0.55,0.55,0.55,6.01,0.55,26.24,2.19,0,0.55,0.55,0,1.64,3.28,0.55,0.55,0.55,0,0.55,1.09,2.73,0.55
