stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,0,1.34,0,0,1.34,0,0,1.34,2.68,0,0,1.34,0,0,2.68,0,0
3Month,0,0.32,3.2,0,0.64,0.32,0.32,0.32,34.87,1.28,0.32,0.32,0.64,0,0,0.64,0.64,0,0,0,0,0.96,5.44,0,1.6,2.24
22Month,0.55,0,0.55,0,2.19,0,1.09,0.55,141.04,1.09,0,0.55,0,1.09,0.55,6.01,0,0,1.09,0.55,0,0.55,2.73,0,0,0
