stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,1.34,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0
3Month,2.56,0.32,0.32,0.64,0,0.32,0,0,0,0,0,0,0,0.32,0.64
22Month,1.09,0.55,0.55,3.83,0.55,4.37,0,0.55,0,0,0,0.55,0.55,0,1.64
