stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Oligodendrocyte,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0
21Day,0,2.68,0,0,0,0,0,0,4.02,0,0,0,0,0
3Month,0.32,4.16,0.32,0.32,0,0,0,0.32,1.28,0.32,0,0.32,0.32,0.32
22Month,0,2.73,0,0,0.55,4.37,1.09,1.64,1.09,0,1.64,0,0,1.09
