stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,2.14,0,5.35,0,9.63,0,0,0,0,0,0,0,0,4.28,17.12,3.21,6.42,0,0,0,0,1312.63,36.37,6.42,3.21,7.49,0,0,9.63,1.07,0,2.14,0,0
21Day,4.02,0,1.34,16.06,0,12.05,2.68,0,0,0,0,0,2.68,4.02,0,10.71,2.68,14.72,0,0,1.34,0,783.04,14.72,4.02,20.08,6.69,12.05,0,0,2.68,4.02,5.35,0,2.68
3Month,0,0,0,2.56,0.64,0,0,0.96,1.6,0,5.76,0.64,0,8.32,1.92,0.64,0.96,0.96,0.32,0,0.96,0.32,62.07,0.32,4.8,0.32,0.64,0.64,1.28,0,1.6,0,0,0.64,0.32
22Month,0.55,0.55,0.55,3.83,0,0,0,0.55,2.19,0.55,24.6,0,0.55,6.56,0,0.55,1.64,0.55,0,1.09,0.55,0,59.59,0.55,15.85,1.64,0,0,2.19,3.83,0.55,0,0,0,0.55
